studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,scn,bph,btc,btn,bcn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,yield_unit,yi,vi
1,35.200000000000003,107.66670000000001,field,maize,grain,rainfed,725,200,150,75,80,loam,1.4,5.69,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,14,8049.1,530.3310517,3,8603.1,514.8267102,3,kg/ha/yr,554,182099.188644194
2,3.4666999999999999,101.13330000000001,pot,rice,grain,irrigation and rain,1026,200,121,29,100,clay,1.44,5.14,5.36,0.4,13.4,7.12,24.86,0.38,65.421052631579,10,210.15,13.84615305,4,241.12,14.42910304,4,g/pot,30.97,99.9787422057404
3,3.4666999999999999,101.13330000000001,pot,rice,grain,irrigation and rain,1026,200,121,29,100,clay,1.44,5.14,5.36,0.4,13.4,8.5,52.11,1.13,46.1150442477876,10,210.15,13.84615305,4,235.15,14.0718463,4,g/pot,25,97.433203143712
4,3.4666999999999999,101.13330000000001,pot,rice,grain,irrigation and rain,1026,200,121,29,100,clay,1.44,5.14,5.36,0.4,13.4,7.12,24.86,0.38,65.421052631579,10,211.13,13.91072231,4,239.55,14.3351511,4,g/pot,28.42,99.7511880614408
5,3.4666999999999999,101.13330000000001,pot,rice,grain,irrigation and rain,1026,200,121,29,100,clay,1.44,5.14,5.36,0.4,13.4,8.5,52.11,1.13,46.1150442477876,10,211.13,13.91072231,4,234.7,14.0449174,4,g/pot,23.57,97.6919749896886
6,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,8.54,0.76,11.7142857142857,9,47.2,0.7,67.4285714285714,45,12010,320,3,14050,790,3,ton/ha/yr,2040,242166.666666667
7,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,8.54,0.76,11.7142857142857,9,47.2,0.7,67.4285714285714,30,12010,320,3,14280,1170,3,ton/ha/yr,2270,490433.333333333
8,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,8.54,0.76,11.7142857142857,9,47.2,0.7,67.4285714285714,15,12010,320,3,14580,1430,3,ton/ha/yr,2570,715766.666666667
9,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,8.54,0.76,11.7142857142857,9,47.2,0.7,67.4285714285714,30,11880,870,3,12370,570,3,ton/ha/yr,490,360600
10,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,8.54,0.76,11.7142857142857,9,47.2,0.7,67.4285714285714,45,11880,870,3,12180,890,3,ton/ha/yr,300,516333.333333333
