ind_code,mod1,group1,mod2,group2,ES,SE,n
bulk density,ash content,very low,soil texture,coarse,18.9423076923076,3.66175178205253,8
bulk density,ash content,very low,soil texture,fine,12.0192307692307,2.70969631871887,6
bulk density,ash content,very high,soil texture,coarse,5.09615384615384,1.68440581974416,5
bulk density,ash content,low,soil texture,coarse,3.94230769230769,0.366175178205253,7
N pool,ash content,very low,,,24.9333333333333,2.58533906836276,39
N pool,ash content,low,,,20.5333333333333,2.81413013635946,36
N pool,ash content,high,,,20.5333333333333,2.81413013635946,36
N pool,ash content,very high,,,14.5333333333333,4.23263475793903,17
N pool,ash content,very high,crop type,grain,11.45,2.53226290516205,35
N pool,ash content,high,crop type,grain,11.45,2.53226290516205,35
N pool,ash content,low,crop type,grain,11.45,2.53226290516205,35
N pool,ash content,low,crop type,grain,11.2623762376237,1.49017940509535,59
N pool,ash content,very low,crop type,grain,11.2623762376237,1.49017940509535,59
N pool,ash content,very low,crop type,grain,9.21,3.50140056022408,11
porosity,ash content,low,soil texture,coarse,4.22222222222222,1.13378684807256,2
porosity,ash content,very low,soil texture,coarse,15.4222222222222,3.12925170068025,3
porosity,ash content,very high,soil texture,medium,6,2.04081632653061,1
porosity,ash content,high,soil texture,medium,9.02222222222222,1.95011337868479,2
porosity,ash content,low,soil texture,medium,7.77777777777777,2.99319727891155,1
porosity,ash content,very low,soil texture,fine,2.26666666666666,2.81179138321995,1
WHC,ash content,very low,,,24.0196078431372,3.84054720789416,39
WHC,ash content,low,,,20.0980392156862,5.66270464229648,36
WHC,ash content,high,,,20.0980392156862,5.66270464229648,36
WHC,ash content,very high,,,14.8692810457516,9.08275398071315,17
yield,ash content,very low,,,24.12,2.50510204081633,39
yield,ash content,low,,,20.066889632107,2.63109728196212,36
yield,ash content,high,,,20.066889632107,2.63109728196212,36
yield,ash content,very high,,,14.8494983277591,3.95808547634299,17
yield,ash content,very high,crop type,grain,11.74,2.30677377333913,35
yield,ash content,high,crop type,grain,11.74,2.30677377333913,35
yield,ash content,low,crop type,grain,7.79702970297029,1.08554059921841,93
yield,ash content,very low,crop type,grain,7.79702970297029,1.08554059921841,93
yield,ash content,very low,crop type,grain,9.34405940594059,2.89129563445671,13
bulk density,bc c content,high,soil texture,coarse,14.6153846153846,1.3182306415389,20
bulk density,bc c content,very low,soil texture,fine,12.8846153846153,5.93203788692508,2
bulk density,bc c content,very high,soil texture,coarse,10.2884615384615,0.36617517820525,11
bulk density,bc c content,very high,soil texture,fine,8.84615384615385,2.12381603359046,2
bulk density,bc c content,high,soil texture,medium,8.55769230769231,0.439410213846304,7
bulk density,bc c content,very low,soil texture,coarse,8.26923076923077,1.53793574846206,7
bulk density,bc c content,very high,soil texture,medium,7.40384615384615,0.585880285128406,3
bulk density,bc c content,very low,soil texture,medium,6.82692307692308,1.6111707841031,2
bulk density,bc c content,high,soil texture,fine,6.82692307692308,1.61117078410311,9
bulk density,bc c content,low,soil texture,coarse,6.53846153846154,0.439410213846304,9
bulk density,bc c content,low,soil texture,medium,6.53846153846154,1.39146567717996,6
bulk density,bc c content,low,soil texture,fine,5.67307692307692,0.366175178205255,4
N pool,bc c content,very low,,,22,1.85320765077332,89
N pool,bc c content,very low,,,13.7333333333333,2.05911961197033,77
N pool,bc c content,low,,,13.7333333333333,2.05911961197033,77
N pool,bc c content,high,,,6.4,1.92184497117231,96
N pool,bc c content,very high,,,6.4,1.92184497117231,96
porosity,bc c content,very high,soil texture,coarse,13.1111111111111,1.22448979591837,8
porosity,bc c content,high,soil texture,coarse,19.6888888888888,1.17913832199549,10
porosity,bc c content,low,soil texture,coarse,5.82222222222222,1.26984126984127,6
porosity,bc c content,very low,soil texture,coarse,21.2888888888888,1.45124716553288,3
porosity,bc c content,very high,soil texture,medium,2.35555555555555,0.22675736961451,2
porosity,bc c content,high,soil texture,medium,9.73333333333333,2.26757369614512,3
