moderator 1,ES,SE,n,N pool.x,SOC.x,WHC.x,wm_Y,wm_bulk density,wm_porosity,wm_soil ph,wm_soil water content,N pool.y,SOC.y,WHC.y,wm_sd_Y,wm_sd_bulk density,wm_sd_porosity,wm_sd_soil ph,wm_sd_soil water content
N rate,8.99653979238754,1.51661274265802,52,13.0934681331053,,,,,,,,0.214815888641786,,,,,,,
N rate,10.1845018450184,1.46857750544386,157,,,12.5862162866747,,,,,,,,0.792524098853979,,,,,
N rate,10.4238754325259,0.989754353880028,145,,,,14.1028715434229,,,,,,,,0.247522473608345,,,,
N rate,10.4273504273504,2.25133033155956,73,,,12.5862162866747,,,,,,,,0.792524098853979,,,,,
N rate,10.8121827411167,0.783208020050117,41,13.0934681331053,,,,,,,,0.214815888641786,,,,,,,
N rate,11.3062283737024,1.01107516177201,133,13.0934681331053,,,,,,,,0.214815888641786,,,,,,,
N rate,11.6239316239316,1.95894976901935,106,,,12.5862162866747,,,,,,,,0.792524098853979,,,,,
N rate,11.6955017301038,1.4807348601355,75,,,,14.1028715434229,,,,,,,,0.247522473608345,,,,
N rate,12.0304568527918,0.447547440028622,106,13.0934681331053,,,,,,,,0.214815888641786,,,,,,,
N rate,12.2923875432525,1.48073486013549,93,,,,14.1028715434229,,,,,,,,0.247522473608345,,,,
N rate,12.4596774193548,1.12047581463526,41,,,,14.1028715434229,,,,,,,,0.247522473608345,,,,
N rate,12.6297577854671,1.29884270781482,69,13.0934681331053,,,,,,,,0.214815888641786,,,,,,,
N rate,12.8205128205128,3.01151979416406,41,,,12.5862162866747,,,,,,,,0.792524098853979,,,,,
N rate,13.3064516129032,0.528526327658138,106,,,,14.1028715434229,,,,,,,,0.247522473608345,,,,
N rate,14.3147208121827,0.492302184031531,73,13.0934681331053,,,,,,,,0.214815888641786,,,,,,,
N rate,14.4649446494464,2.50670987998175,56,,,12.5862162866747,,,,,,,,0.792524098853979,,,,,
N rate,14.516129032258,0.63423159318977,73,,,,14.1028715434229,,,,,,,,0.247522473608345,,,,
N rate,14.7715736040609,0.380415324024337,142,13.0934681331053,,,,,,,,0.214815888641786,,,,,,,
N rate,16.2393162393162,1.57885503771709,142,,,12.5862162866747,,,,,,,,0.792524098853979,,,,,
N rate,16.6935483870967,0.422821062126505,142,,,,14.1028715434229,,,,,,,,0.247522473608345,,,,
SOC,4.87084870848708,2.25350686180179,77,,,12.4235946907932,,,,,,,,1.03275327609927,,,,,
SOC,8.17073170731707,0.585480093676816,97,14.1605268001874,,,,,,,,0.256043744102028,,,,,,,
SOC,8.85608856088561,0.561870317747352,97,,,,14.5828848614354,,,,,,,,0.214993073464806,,,,
SOC,9.51585976627712,0.864536131647965,119,,,,14.5828848614354,,,,,,,,0.214993073464806,,,,
SOC,9.81132075471698,3.16299026349082,27,,,,,,,,10.6329817693071,,,,,,,,0.899871715283221
SOC,10.3321033210332,2.10158505089379,97,,,12.4235946907932,,,,,,,,1.03275327609927,,,,,
SOC,10.4059040590405,0.503745802118304,77,,,,14.5828848614354,,,,,,,,0.214993073464806,,,,
SOC,10.6199460916442,1.47835414489244,28,,,,,,,,10.6329817693071,,,,,,,,0.899871715283221
SOC,10.9756097560975,0.780578306710699,163,,,,,,,13.8957985414396,,,,,,,,0.4100408072223,
SOC,12.1024258760107,2.88794763188294,123,,,,,,,,10.6329817693071,,,,,,,,0.899871715283221
SOC,12.3059866962305,0.780578306710714,159,,,,,,,13.8957985414396,,,,,,,,0.4100408072223,
SOC,13.0376940133037,1.2217747409385,150,,,,,,,13.8957985414396,,,,,,,,0.4100408072223,
SOC,13.170731707317,0.522750083640025,77,14.1605268001874,,,,,,,,0.256043744102028,,,,,,,
SOC,15.0553505535055,3.13971742543169,60,,,12.4235946907932,,,,,,,,1.03275327609927,,,,,
SOC,16.4634146341463,0.690030110404821,60,14.1605268001874,,,,,,,,0.256043744102028,,,,,,,
SOC,17.6014760147601,0.619994833376377,60,,,,14.5828848614354,,,,,,,,0.214993073464806,,,,
SOC,17.8270509977827,1.00117652382462,70,,,,,,,13.8957985414396,,,,,,,,0.4100408072223,
SOC,17.960088691796,1.00117652382459,151,,,,,,,13.8957985414396,,,,,,,,0.4100408072223,
SOC,18.0467445742904,1.37133317433819,64,,,,14.5828848614354,,,,,,,,0.214993073464806,,,,
SOC,19.0687361419068,3.39381872482916,125,,,,14.5828848614354,,,,,,,,0.214993073464806,,,,
SOC,20.9756097560975,0.585480093676837,84,14.1605268001874,,,,,,,,0.256043744102028,,,,,,,
SOC,25.4090150250417,1.04340567612689,154,,,,14.5828848614354,,,,,,,,0.214993073464806,,,,
SOC,26.36,0.607142857142857,84,,,,14.5828848614354,,,,,,,,0.214993073464806,,,,
SOC,27.1586715867158,2.1522256545298,84,,,12.4235946907932,,,,,,,,1.03275327609927,,,,,
SOC,27.9379157427937,3.84632788813972,116,,,,14.5828848614354,,,,,,,,0.214993073464806,,,,
SOC,29.0465631929046,4.63821892393322,156,,,,14.5828848614354,,,,,,,,0.214993073464806,,,,
SOC,57.6496674057649,7.1835829675551,149,,,,14.5828848614354,,,,,,,,0.214993073464806,,,,
SOC,59.6452328159645,12.5005656364541,51,,,,14.5828848614354,,,,,,,,0.214993073464806,,,,
SSA,-26.4423076923076,3.14910653256518,7,,,,,-6.66539026090611,,,,,,,,0.205844281154426,,,
SSA,-15.7692307692307,4.90674738795039,2,,,,,-6.66539026090611,,,,,,,,0.205844281154426,,,
SSA,-13.1730769230769,0.878820427692602,2,,,,,-6.66539026090611,,,,,,,,0.205844281154426,,,
SSA,-10.8653846153846,1.61117078410311,7,,,,,-6.66539026090611,,,,,,,,0.205844281154426,,,
SSA,-9.71153846153846,2.63646128307781,1,,,,,-6.66539026090611,,,,,,,,0.205844281154426,,,
SSA,-8.26923076923077,0.512645249487354,9,,,,,-6.66539026090611,,,,,,,,0.205844281154426,,,
