moderator 1,group 1,moderator 2,group 2,ES,SE,n,mean_N pool,mean_SOC,mean_WHC,mean_Y,mean_bulk density,mean_porosity,mean_soil ph,mean_soil water content,sd_N pool,sd_SOC,sd_WHC,sd_Y,sd_bulk density,sd_porosity,sd_soil ph,sd_soil water content
N rate,coarse,,,10.1845018450184,1.46857750544386,157,,,10.1845018450184,,,,,,,,1.46857750544386,,,,,
N rate,high,,,10.4273504273504,2.25133033155956,73,,,10.4273504273504,,,,,,,,2.25133033155956,,,,,
N rate,high,,,14.3147208121827,0.492302184031531,73,14.3147208121827,,,,,,,,0.492302184031531,,,,,,,
N rate,high,,,14.516129032258,0.63423159318977,73,,,,14.516129032258,,,,,,,,0.63423159318977,,,,
N rate,high,crop type,grain,10.4238754325259,0.989754353880028,145,,,,10.8165703061332,,,,,,,,0.822858512825473,,,,
N rate,high,crop type,grain,11.3062283737024,1.01107516177201,133,11.8056288304847,,,,,,,,0.79783710408413,,,,,,,
N rate,high,crop type,grain,11.6955017301038,1.4807348601355,75,,,,10.8165703061332,,,,,,,,0.822858512825473,,,,
N rate,high,crop type,grain,12.6297577854671,1.29884270781482,69,11.8056288304847,,,,,,,,0.79783710408413,,,,,,,
N rate,low,,,14.7715736040609,0.380415324024337,142,14.7715736040609,,,,,,,,0.380415324024337,,,,,,,
N rate,low,,,16.2393162393162,1.57885503771709,142,,,16.2393162393162,,,,,,,,1.57885503771709,,,,,
N rate,low,,,16.6935483870967,0.422821062126505,142,,,,16.6935483870967,,,,,,,,0.422821062126505,,,,
N rate,low,crop type,grain,8.99653979238754,1.51661274265802,52,10.5955549640671,,,,,,,,0.841265385950085,,,,,,,
N rate,low,crop type,grain,10.4238754325259,0.989754353880028,145,,,,11.0008964712957,,,,,,,,0.822858512825471,,,,
N rate,low,crop type,grain,11.3062283737024,1.01107516177201,133,10.5955549640671,,,,,,,,0.841265385950085,,,,,,,
N rate,low,crop type,grain,12.2923875432525,1.48073486013549,93,,,,11.0008964712957,,,,,,,,0.822858512825471,,,,
N rate,medium,,,14.4649446494464,2.50670987998175,56,,,14.4649446494464,,,,,,,,2.50670987998175,,,,,
N rate,very high,,,10.8121827411167,0.783208020050117,41,10.8121827411167,,,,,,,,0.783208020050117,,,,,,,
N rate,very high,,,12.4596774193548,1.12047581463526,41,,,,12.4596774193548,,,,,,,,1.12047581463526,,,,
N rate,very high,,,12.8205128205128,3.01151979416406,41,,,12.8205128205128,,,,,,,,3.01151979416406,,,,,
N rate,very high,crop type,grain,11.6955017301038,1.4807348601355,75,,,,11.6955017301038,,,,,,,,1.4807348601355,,,,
N rate,very high,crop type,grain,12.6297577854671,1.29884270781482,69,12.6297577854671,,,,,,,,1.29884270781482,,,,,,,
N rate,very low,,,11.6239316239316,1.95894976901935,106,,,11.6239316239316,,,,,,,,1.95894976901935,,,,,
N rate,very low,,,12.0304568527918,0.447547440028622,106,12.0304568527918,,,,,,,,0.447547440028622,,,,,,,
N rate,very low,,,13.3064516129032,0.528526327658138,106,,,,13.3064516129032,,,,,,,,0.528526327658138,,,,
N rate,very low,crop type,grain,8.99653979238754,1.51661274265802,52,8.99653979238754,,,,,,,,1.51661274265802,,,,,,,
