meta_analytical_study,studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,sbdc_mean,sbdc_sd,sbdc_n,sbdr_mean,sbdr_sd,sbdr_n,clayall,sandall,clay,sand,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,bph_scaled,btc_scaled,btn_scaled,brate_scaled,clay_scaled,sand_scaled
Han22,31,-17.0167,145.4,field,peanut,legumes,rainfed,541,225,26.6,31.6,66.2,clay loam,0.55,6.2,8.9,0.6,9.8,489.6,9.8,10,0.97,0.01261,3,0.91,0.0182,3,30.63333333,51.4,30.63333333,51.4,1.65463137243431,-0.116191829706852,-1.11472559896141,-4.63508703025509,-0.60045085757219,-3.62165182537528,-0.082690579836429,-0.298037496061614,-4.50706860673867,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.42606375382922,0.605092257618377,2.38958572865247
Han22,32,-17.0167,145.4,field,peanut,legumes,rainfed,541,225,26.6,31.6,66.2,clay loam,0.55,6.2,8.1,0.7,9.8,489.6,9.8,2.5,0.93,0.01209,3,0.96,0.0192,3,30.63333333,51.4,30.63333333,51.4,1.65463137243431,-0.116191829706852,-1.11472559896141,-4.63508703025509,-0.60045085757219,-3.62165182537528,-0.082690579836429,-0.6197027684986,-3.23564852482542,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.77345243502019,0.605092257618377,2.38958572865247
Wu22,1892,-17.2,145.5,unknown,unknown,grain,rainfed,177.1479917,225,150,100,80,clay,1.26,6,9.5,0.95,9.8,489.6,9.8,0,0.808510638,0.0552397026155045,,0.76,0.0484166474566163,,40.26666667,33.03333333,40.26666667,33.03333333,0.105733585033933,-0.116191829706852,-0.000272299676764928,0.115519806874158,-0.209336408276515,0.149192162917073,-0.237992393300981,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.889248662083847,1.98910418250231,0.617113071800273
Wu22,1893,-17.2,145.5,unknown,unknown,grain,rainfed,177.1479917,225,150,100,80,clay,1.26,6,9.5,0.95,9.8,489.6,9.8,10,0.829787234,0.0566933790181028,,0.78,0.0496907697581063,,40.26666667,33.03333333,40.26666667,33.03333333,0.105733585033933,-0.116191829706852,-0.000272299676764928,0.115519806874158,-0.209336408276515,0.149192162917073,-0.237992393300981,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.42606375382922,1.98910418250231,0.617113071800273
Han22,68,35.75,106.15,field,cabbage,vegetable,irrigation,146.8,225,300,75,300,clay,1.07,7.83,33.43,0.95,9.5,695.7,3.98,10,1.18,0.04,3,1.19,0.05,3,27.6,21.5,27.6,21.5,-0.0234561298058929,-0.116191829706852,1.35441161355416,-1.62081310143332,6.02582147904584,-0.859906932541443,1.18301919989966,9.56502392003746,-0.0570983200422862,-3.29901132289108,3.75160566554799,-8.74178495009696,-0.42606375382922,0.16929611596136,-0.49590968497343
Wu22,2229,37.3,55.4,unknown,unknown,legumes,rainfed,13.29396576,225,92.8,100,80,silt loam,1.42,7.46666666666667,9.5,0.95,9.8,489.6,9.8,0,1.5,0.102484185153364,,1.59,0.101292722968447,,22.3,16.16666667,22.3,16.16666667,-0.591783901322372,-0.116191829706852,-0.516858431922159,0.115519806874158,-0.209336408276515,0.99895982225056,0.90088757210573,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.889248662083847,-0.592149890627764,-1.01060228908892
Wu22,2230,37.3,55.4,unknown,unknown,legumes,rainfed,13.29396576,225,92.8,100,80,silt loam,1.42,7.46666666666667,9.5,0.95,9.8,489.6,9.8,2.5,1.5,0.102484185153364,,1.54,0.0981074172147226,,22.3,16.16666667,22.3,16.16666667,-0.591783901322372,-0.116191829706852,-0.516858431922159,0.115519806874158,-0.209336408276515,0.99895982225056,0.90088757210573,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.77345243502019,-0.592149890627764,-1.01060228908892
Wu22,2231,37.3,55.4,unknown,unknown,legumes,rainfed,13.29396576,225,92.8,100,80,silt loam,1.42,7.46666666666667,9.5,0.95,9.8,489.6,9.8,8,1.5,0.102484185153364,,1.53,0.0974703560639776,,22.3,16.16666667,22.3,16.16666667,-0.591783901322372,-0.116191829706852,-0.516858431922159,0.115519806874158,-0.209336408276515,0.99895982225056,0.90088757210573,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.518700735480145,-0.592149890627764,-1.01060228908892
Wu22,2232,37.3,55.4,unknown,unknown,legumes,rainfed,13.29396576,225,92.8,100,80,silt loam,1.42,7.46666666666667,9.5,0.95,9.8,489.6,9.8,16,1.5,0.102484185153364,,1.51,0.0961962337624877,,22.3,16.16666667,22.3,16.16666667,-0.591783901322372,-0.116191829706852,-0.516858431922159,0.115519806874158,-0.209336408276515,0.99895982225056,0.90088757210573,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.148152808876444,-0.592149890627764,-1.01060228908892
Han22,69,35.75,106.15,field,cabbage,vegetable,irrigation,146.8,225,300,75,300,clay,1.07,7.83,33.43,0.95,9.5,695.7,3.98,30,1.18,0.04,3,1.12,0.04,3,27.6,21.5,27.6,21.5,-0.0234561298058929,-0.116191829706852,1.35441161355416,-1.62081310143332,6.02582147904584,-0.859906932541443,1.18301919989966,9.56502392003746,-0.0570983200422862,-3.29901132289108,3.75160566554799,-8.74178495009696,0.500306062680034,0.16929611596136,-0.49590968497343
