ID,lon,lat,studyid,bdod_mean_0_5,bdod_mean_15_30,bdod_mean_5_15,BD,BD / 100,cec_mean_0_5,cec_mean_15_30,cec_mean_5_15,clay_mean_0_5,clay_mean_15_30,clay_mean_5_15,clay ALL,ntot_mean_0_5,ntot_mean_15_30,ntot_mean_5_15,tot_N,tot_N / 100,phw_mean_0_5,phw_mean_15_30,phw_mean_5_15,sand_mean_0_5,sand_mean_15_30,sand_mean_5_15,sand ALL,silt_mean_0_5,silt_mean_15_30,silt_mean_5_15,soc_mean_0_5,soc_mean_15_30,soc_mean_5_15,SOC,SOC / 100,pre_mean,pre_sd,tmp_mean,tmp_sd,pet_mean,pet_sd,GEnZname,GEnZ,GEnS
719,172.46,-43.64,1104,88,102,92,94,0.94,301,229,248,222,282,253,252.3333333,425,145,332,300.67,3.01,66,67,66,572,528,549,549.6666667,206,189,198,697,269,433,466.33,4.66,52.40201233,21.35398468,11.87040253,3.846569398,2.246264404,1.130307084,K. Warm temperate and mesic,K,K1
720,172.46,-43.64,1105,88,102,92,94,0.94,301,229,248,222,282,253,252.3333333,425,145,332,300.67,3.01,66,67,66,572,528,549,549.6666667,206,189,198,697,269,433,466.33,4.66,52.40201233,21.35398468,11.87040253,3.846569398,2.246264404,1.130307084,K. Warm temperate and mesic,K,K1
721,172.46,-43.64,1106,88,102,92,94,0.94,301,229,248,222,282,253,252.3333333,425,145,332,300.67,3.01,66,67,66,572,528,549,549.6666667,206,189,198,697,269,433,466.33,4.66,52.40201233,21.35398468,11.87040253,3.846569398,2.246264404,1.130307084,K. Warm temperate and mesic,K,K1
1179,174.26,-39.61,1564,43.52108434,47.54216867,45.10542169,45.39,0.45,135.9126506,114.0240964,123.876506,143.2891566,160.8915663,146.746988,150.3092369,256.5722892,147.6024096,208.8072289,204.33,2.04,26.85240964,26.80120482,26.73192771,214.0481928,198.626506,210.7951807,207.8232932,148.7138554,146.4849398,148.4789157,640.2319277,393.5361446,531.4427711,521.74,5.22,123.4942547,60.53233362,12.61350597,3.081527495,1.999425325,0.89410476,K. Warm temperate and mesic,K,K1
1180,174.26,-39.61,1565,43.52108434,47.54216867,45.10542169,45.39,0.45,135.9126506,114.0240964,123.876506,143.2891566,160.8915663,146.746988,150.3092369,256.5722892,147.6024096,208.8072289,204.33,2.04,26.85240964,26.80120482,26.73192771,214.0481928,198.626506,210.7951807,207.8232932,148.7138554,146.4849398,148.4789157,640.2319277,393.5361446,531.4427711,521.74,5.22,123.4942547,60.53233362,12.61350597,3.081527495,1.999425325,0.89410476,K. Warm temperate and mesic,K,K1
1181,174.26,-39.61,1566,43.52108434,47.54216867,45.10542169,45.39,0.45,135.9126506,114.0240964,123.876506,143.2891566,160.8915663,146.746988,150.3092369,256.5722892,147.6024096,208.8072289,204.33,2.04,26.85240964,26.80120482,26.73192771,214.0481928,198.626506,210.7951807,207.8232932,148.7138554,146.4849398,148.4789157,640.2319277,393.5361446,531.4427711,521.74,5.22,123.4942547,60.53233362,12.61350597,3.081527495,1.999425325,0.89410476,K. Warm temperate and mesic,K,K1
1182,174.26,-39.61,1567,43.52108434,47.54216867,45.10542169,45.39,0.45,135.9126506,114.0240964,123.876506,143.2891566,160.8915663,146.746988,150.3092369,256.5722892,147.6024096,208.8072289,204.33,2.04,26.85240964,26.80120482,26.73192771,214.0481928,198.626506,210.7951807,207.8232932,148.7138554,146.4849398,148.4789157,640.2319277,393.5361446,531.4427711,521.74,5.22,123.4942547,60.53233362,12.61350597,3.081527495,1.999425325,0.89410476,K. Warm temperate and mesic,K,K1
1059,145.05,-37.72,1444,67.303125,75.80625,71.025,71.38,0.71,164.765625,145.675,148.190625,129.65,169.865625,145.75625,148.4239583,249.034375,115.93125,172.890625,179.29,1.79,39.978125,40.7875,40.234375,381.5375,347.421875,367.025,365.328125,163.828125,157.678125,162.20625,528.103125,274.059375,341.740625,381.3,3.81,58.5666676,28.87571992,14.55114974,4.035715849,3.200287416,1.520835125,K. Warm temperate and mesic,K,K10
1060,145.05,-37.72,1445,67.303125,75.80625,71.025,71.38,0.71,164.765625,145.675,148.190625,129.65,169.865625,145.75625,148.4239583,249.034375,115.93125,172.890625,179.29,1.79,39.978125,40.7875,40.234375,381.5375,347.421875,367.025,365.328125,163.828125,157.678125,162.20625,528.103125,274.059375,341.740625,381.3,3.81,58.5666676,28.87571992,14.55114974,4.035715849,3.200287416,1.520835125,K. Warm temperate and mesic,K,K10
1061,145.05,-37.72,1446,67.303125,75.80625,71.025,71.38,0.71,164.765625,145.675,148.190625,129.65,169.865625,145.75625,148.4239583,249.034375,115.93125,172.890625,179.29,1.79,39.978125,40.7875,40.234375,381.5375,347.421875,367.025,365.328125,163.828125,157.678125,162.20625,528.103125,274.059375,341.740625,381.3,3.81,58.5666676,28.87571992,14.55114974,4.035715849,3.200287416,1.520835125,K. Warm temperate and mesic,K,K10
