meta_analytical_study,studyid,sources,country,lat,lon,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,yi,vi
Han22,1,Dai  et al. (2021),China,35.200000000000003,107.66670000000001,maize,grain,rainfed,725,225,150,75,80,loam,1.4,6.27,1.47,1.65666666666667,9.8,585,8.45,14,8049.1,530.3310517,3,8603.1,514.8267102,3,0.845765939401929,0.726276668687702
Han22,6,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,45,12010,320,3,14050,0.79,3,7.19339526937868,4.97874462512663
Han22,7,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,30,12010,320,3,14280,1.17,3,8.00438621478853,6.00584988962472
Han22,8,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,15,12010,320,3,14580,1.43,3,9.0622047013126,7.51029617070768
Han22,9,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,30,11880,870,3,12370,0.57,3,0.635523762309411,0.700324204371659
Han22,10,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,45,11880,870,3,12180,0.89,3,0.389096060920167,0.679282978718633
Han22,11,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,15,11880,870,3,12670,1.21,3,1.02461917224553,0.754153704011093
Han22,12,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,45,12800,1100,3,14470,1.5,3,1.7130831427577,0.91122115450005
Han22,13,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,30,12800,1100,3,14530,1.8,3,1.77463031411866,0.929109395982407
Han22,14,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,15,12800,1100,3,14930,2.12,3,2.18494832933344,1.06449993348808
Han22,15,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,30,11900,1410,3,12710,1.07,3,0.648217632748682,0.701682174950526
Han22,16,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,15,11900,1410,3,12970,1.23,3,0.856287410924255,0.72776901084228
Han22,17,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,45,11900,1410,3,12310,1.23,3,0.328110129419574,0.675638021418977
Han22,19,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,83,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,25,10251.8,449.6,3,12679.9,359.7,3,4.75843320760503,2.55355721593652
Han22,20,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,83,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,50,10251.8,449.6,3,13759,449.6,3,6.22406746362947,3.89491798265091
Han22,21,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,100.9,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,25,9288.7,502.089999999999,3,10711.3,418.4,3,2.4561007051554,1.16936922282207
Han22,22,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,100.9,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,50,9288.7,502.089999999999,3,11882.8,753.2,3,3.23364672808374,1.53803926350389
Han22,23,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,108.2,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,25,15197.8,629.499999999998,3,18345.3,179.9,3,5.42472038848282,3.11896594110176
Han22,24,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,108.2,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,50,15197.8,629.499999999998,3,19514.4,269.8,3,7.11183391678562,4.88151513832853
