meta_analytical_study,studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,clayall,sandall,clay,sand,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,bph_scaled,btc_scaled,btn_scaled,brate_scaled,clay_scaled,sand_scaled
Han22,1,35.2,107.6667,field,maize,grain,rainfed,725,225,150,75,80,loam,1.4,8.1,9.5,0.95,9.8,489.6,9.8,14,8049.1,530.3310517,3,8603.1,514.8267102,3,26.4,30.5,26.4,30.5,0.981851442873887,-0.0572665428231415,-0.349095227433182,-0.866416383249524,-0.141230472883741,0.608871800167459,1.18735038478648,-0.0860777177265701,-0.0365030314224644,0.309765578966693,-0.0651953424660097,0.0280872655899021,-0.274809677465891,0.0694078153850163,-0.0246251345384246
Han22,6,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,45,12010,320,3,14050,790,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.578015873231472,3.73039274980584,1.54471015918213,2.74659287276555,-1.8031094226005,1.12363754700038,1.49550813564911,-0.0860777177265701,-0.0365030314224644,-0.696554285490018,-0.278902973019089,-1.51266889602828,1.82832646182018,-0.863630773767252,0.10886711940882
Han22,7,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,30,12010,320,3,14280,1170,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.578015873231472,3.73039274980584,1.54471015918213,2.74659287276555,-1.8031094226005,1.12363754700038,1.49550813564911,-0.0860777177265701,-0.0365030314224644,-0.696554285490018,-0.278902973019089,-1.51266889602828,0.810679942810793,-0.863630773767252,0.10886711940882
Han22,8,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,15,12010,320,3,14580,1430,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.578015873231472,3.73039274980584,1.54471015918213,2.74659287276555,-1.8031094226005,1.12363754700038,1.49550813564911,-0.0860777177265701,-0.0365030314224644,-0.696554285490018,-0.278902973019089,-1.51266889602828,-0.206966576198598,-0.863630773767252,0.10886711940882
Han22,9,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,30,11880,870,3,12370,570,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.506297835709387,3.73039274980584,1.54471015918213,2.74659287276555,-1.8031094226005,1.12363754700038,1.49550813564911,-0.0860777177265701,-0.0365030314224644,-0.696554285490018,-0.278902973019089,-1.51266889602828,0.810679942810793,-0.863630773767252,0.10886711940882
Han22,10,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,45,11880,870,3,12180,890,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.506297835709387,3.73039274980584,1.54471015918213,2.74659287276555,-1.8031094226005,1.12363754700038,1.49550813564911,-0.0860777177265701,-0.0365030314224644,-0.696554285490018,-0.278902973019089,-1.51266889602828,1.82832646182018,-0.863630773767252,0.10886711940882
Han22,11,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,15,11880,870,3,12670,1210,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.506297835709387,3.73039274980584,1.54471015918213,2.74659287276555,-1.8031094226005,1.12363754700038,1.49550813564911,-0.0860777177265701,-0.0365030314224644,-0.696554285490018,-0.278902973019089,-1.51266889602828,-0.206966576198598,-0.863630773767252,0.10886711940882
Han22,12,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,45,12800,1100,3,14470,1500,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.578015873231472,2.00300093497577,1.54471015918213,2.74659287276555,-1.8031094226005,1.12363754700038,1.49550813564911,-0.0860777177265701,-0.0365030314224644,-0.696554285490018,-0.278902973019089,-1.51266889602828,1.82832646182018,-0.863630773767252,0.10886711940882
Han22,13,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,30,12800,1100,3,14530,1800,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.578015873231472,2.00300093497577,1.54471015918213,2.74659287276555,-1.8031094226005,1.12363754700038,1.49550813564911,-0.0860777177265701,-0.0365030314224644,-0.696554285490018,-0.278902973019089,-1.51266889602828,0.810679942810793,-0.863630773767252,0.10886711940882
Han22,14,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,15,12800,1100,3,14930,2120,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.578015873231472,2.00300093497577,1.54471015918213,2.74659287276555,-1.8031094226005,1.12363754700038,1.49550813564911,-0.0860777177265701,-0.0365030314224644,-0.696554285490018,-0.278902973019089,-1.51266889602828,-0.206966576198598,-0.863630773767252,0.10886711940882
