meta_analytical_study,studyid,sources,country,lat,lon,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,yi,vi
Han22,1,Dai  et al. (2021),China,35.200000000000003,107.66670000000001,maize,grain,rainfed,725,225,150,75,80,loam,1.4,6.27,1.47,1.65666666666667,9.8,585,8.45,14,8049.1,530.3310517,3,8603.1,514.8267102,3,0.845765939401929,0.726276668687702
Han22,6,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,45,12010,320,3,14050,790,3,2.70064448716783,1.27445672050583
Han22,7,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,30,12010,320,3,14280,1170,3,2.11169065990317,1.03826978692686
Han22,8,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,15,12010,320,3,14580,1430,3,1.97898189307682,0.993030777760493
Han22,9,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,30,11880,870,3,12370,570,3,0.531591038189031,0.690215752656908
Han22,10,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,45,11880,870,3,12180,890,3,0.271988539597081,0.672831480472679
Han22,11,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,15,11880,870,3,12670,1210,3,0.598146920745635,0.69648164489979
Han22,12,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,45,12800,1100,3,14470,1500,3,1.01305606528939,0.752190215951635
Han22,13,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,30,12800,1100,3,14530,1800,3,0.925382233013499,0.738027689764754
Han22,14,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,15,12800,1100,3,14930,2120,3,1.0063051079507,0.751054164190639
Han22,15,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,30,11900,1410,3,12710,1070,3,0.516368665976431,0.688886383266857
Han22,16,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,15,11900,1410,3,12970,1230,3,0.645271942425961,0.701364656640181
Han22,17,Yang  et al. (2022）,China,40.683300000000003,107.3,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,0.848958333266667,1.17279761886667,9,4720,0.7,45,11900,1410,3,12310,1230,3,0.247253734948266,0.671761200787156
Han22,19,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,83,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,25,10251.8,449.6,3,12679.9,359.7,3,4.75843320760503,2.55355721593652
Han22,20,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,83,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,50,10251.8,449.6,3,13759,449.6,3,6.22406746362947,3.89491798265091
Han22,21,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,100.9,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,25,9288.7,502.089999999999,3,10711.3,418.4,3,2.4561007051554,1.16936922282207
Han22,22,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,100.9,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,50,9288.7,502.089999999999,3,11882.8,753.2,3,3.23364672808374,1.53803926350389
Han22,23,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,108.2,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,25,15197.8,629.499999999998,3,18345.3,179.9,3,5.42472038848282,3.11896594110176
Han22,24,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,108.2,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,50,15197.8,629.499999999998,3,19514.4,269.8,3,7.11183391678562,4.88151513832853
Han22,25,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,78.1,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,25,12410.1,989.2,3,15107.9,449.7,3,2.80147295300249,1.32068755886704
Han22,26,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,78.1,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,50,12410.1,989.2,3,16906.5,1169,3,3.31315218905564,1.58141478565368
Han22,27,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,123.6,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,25,13974.9,1087.9,3,17154.8,502.099999999999,3,2.99465733651491,1.41399771359521
Han22,28,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,123.6,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,50,13974.9,1087.9,3,18075.3,669.500000000003,3,3.62204287779734,1.7599328840502
Han22,29,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,133.4,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,25,10543.9,1171.6,3,13054.4,585.800000000001,3,2.16262348806132,1.05641169592621
Han22,30,Agb et al.(2017),China,31.95,118.83329999999999,tomato,vegetable,irrigation,421,133.4,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,50,10543.9,1171.6,3,13891.2,753.2,3,2.7117750920017,1.27947701246674
Han22,31,Agegnehu et al. (2015）,Australia,-17.0167,145.4,peanut,legumes,rainfed,541,225,26.6,31.6,66.2,clay loam,0.55,6.2,8.9,0.6,9.8,585,8.45,10,5617,1171.6,3,6910,753.2,3,1.04750849758259,0.758106171042311
Han22,32,Agegnehu et al. (2015）,Australia,-17.0167,145.4,peanut,legumes,rainfed,541,225,26.6,31.6,66.2,clay loam,0.55,6.2,8.1,0.7,9.8,585,8.45,2.5,6552,1171.6,3,6786,753.2,3,0.189572303506826,0.669661471521407
Han22,38,Babalola  et al. (2022),Nigeria,5.2167000000000003,7.2667000000000002,maize,grain,irrigation,304.3,225,45,100,45,sandy clay loam,1.35,5.12,9.4,4.6,9.42,690,10.09,20,21621.6,1014.8,3,23783.8,1579.8,3,1.29937707240655,0.807365064691318
Han22,39,Babalola  et al. (2022),Nigeria,5.2167000000000003,7.2667000000000002,maize,grain,irrigation,304.3,225,45,100,45,sandy clay loam,1.35,5.12,9.4,4.6,9.42,690,10.09,20,17702.7,1524.6,3,20675.7,1551.6,3,1.54217504362514,0.864858655431684
Han22,40,Babalola  et al. (2022),Nigeria,5.2167000000000003,7.2667000000000002,maize,grain,irrigation,421,225,45,100,45,sandy clay loam,1.35,4.99,11.8,1.8,9.42,690,10.09,20,13636.4,1545.4,3,15636.4,2181.8,3,0.844067575897183,0.726037506056746
Han22,41,Babalola  et al. (2022),Nigeria,5.2167000000000003,7.2667000000000002,maize,grain,irrigation,304.3,225,45,100,45,sandy clay loam,1.35,5.12,9.4,4.6,9.42,690,10.09,20,22837.8,1707.7,3,24459.5,1858.7,3,0.724972618068518,0.710465441412427
Han22,42,Babalola  et al. (2022),Nigeria,5.2167000000000003,7.2667000000000002,maize,grain,irrigation,421,225,45,100,45,sandy clay loam,1.35,4.99,11.8,1.8,9.42,690,10.09,20,9454.55,1999.95,3,12272.7,1545.5,3,1.25812596482193,0.798573411946593
Han22,43,Babalola  et al. (2022),Nigeria,5.2167000000000003,7.2667000000000002,maize,grain,irrigation,421,225,45,100,45,sandy clay loam,1.35,4.99,11.8,1.8,9.42,690,10.09,20,15363.6,2454.6,3,16090.9,2454.6,3,0.23641385198074,0.671324292450698
Han22,44,Cabrera et al.(2017),America,30.7667,-87.133300000000006,sorghum,grain,rainfed,720,225,30,7.5,15,sandy loam,1.42,6,20,0.638,9.4,585,8.45,5,21000,1383.627,4,19900,1190.8558,4,-0.740204607309246,0.534243928792615
Han22,45,Cabrera et al.(2017),America,30.7667,-87.133300000000006,sorghum,grain,rainfed,720,225,30,7.5,15,sandy loam,1.42,6,20,0.638,5.1,585,4.025,8,21000,1383.627,4,19400,1160.9348,4,-1.08821148299469,0.574012764482594
Han22,46,Cabrera et al.(2017),America,30.7667,-87.133300000000006,sorghum,grain,rainfed,678,225,30,7.5,15,sandy loam,1.42,6,20,0.638,9.4,585,8.45,5,4900,322.846,4,3900,233.3838,4,-3.08363575011146,1.09430058996034
Han22,47,Cabrera et al.(2017),America,30.7667,-87.133300000000006,sorghum,grain,rainfed,678,225,30,7.5,15,sandy loam,1.42,6,20,0.638,5.1,585,4.025,8,4900,322.846,4,5000,299.21,4,0.279074659005627,0.504867666581194
Han22,48,Cabrera et al.(2017),America,30.7667,-87.133300000000006,sorghum,grain,rainfed,867,225,30,7.5,15,sandy loam,1.42,6,20,0.638,9.4,585,8.45,5,22200,1462.6914,4,17900,1071.1718,4,-2.91356705382624,1.03055456107136
Han22,49,Cabrera et al.(2017),America,30.7667,-87.133300000000006,sorghum,grain,rainfed,867,225,30,7.5,15,sandy loam,1.42,6,20,0.638,5.1,585,4.025,8,22200,1462.6914,4,17800,1065.1876,4,-2.98713937222044,1.05768760181684
