var,varname,mean,se,ci.lb,ci.ub,pval
rain,intrcpt,1119.621,93.763,935.849,1303.394,0
rain,varsel,-0.289,0.089,-0.464,-0.114,0.001
irr,intrcpt,1010.881,133.928,748.387,1273.374,0
irr,varsel,-0.844,0.637,-2.092,0.404,0.185
texture,clay,849.72,136.216,582.741,1116.699,0
texture,clay loam,634.939,68.381,500.916,768.963,0
texture,loam,1080.571,109.399,866.154,1294.988,0
texture,sand,1025.952,138.908,753.698,1298.206,0
texture,sandy clay,1731.95,244.661,1252.423,2211.477,0
texture,sandy clay loam,1738.032,178.63,1387.924,2088.14,0
texture,sandy loam,1112.909,117.774,882.077,1343.741,0
texture,silt,620.924,154.543,318.027,923.822,0
texture,silt loam,479.463,211.656,64.625,894.301,0.023
texture,silty clay,67,943.259,-1781.754,1915.754,0.943
texture,silty clay loam,940.64,173.917,599.77,1281.511,0
texture,Silty Clay Loam,517.999,159.782,204.831,831.167,0.001
texture,unknown,687.249,76.703,536.914,837.585,0
water_management,flooded,557.774,90.716,379.973,735.575,0
water_management,irrigation,1436.382,102.507,1235.471,1637.293,0
water_management,irrigation and rain,1811.434,114.079,1587.843,2035.025,0
water_management,rainfed,579.423,97.62,388.091,770.755,0
water_management,unknown,678.49,45.441,589.429,767.552,0
sbd,intrcpt,-3649.805,881.297,-5377.115,-1922.495,0
sbd,varsel,3128.026,613.701,1925.195,4330.857,0
sph,10.1,3003.776,218.688,2575.156,3432.397,0
sph,4. 66,495.322,521.911,-527.605,1518.248,0.343
sph,4.04,5872.216,2518.285,936.469,10807.964,0.02
sph,4.0999999999999996,519.804,222.386,83.937,955.672,0.019
sph,4.1100000000000003,7.561,419.474,-814.594,829.715,0.986
sph,4.1500000000000004,112.831,282.727,-441.303,666.965,0.69
sph,4.2,737,602.274,-443.435,1917.435,0.221
sph,4.3,6323.859,2468.836,1485.028,11162.689,0.01
sph,4.4000000000000004,616.362,361.84,-92.832,1325.557,0.088
sph,4.42,1211.147,388.252,450.187,1972.106,0.002
sph,4.47,3416.332,2974.861,-2414.288,9246.952,0.251
sph,4.5,497.018,212.939,79.664,914.371,0.02
sph,4.5199999999999996,2109.146,1031.763,86.928,4131.364,0.041
sph,4.5999999999999996,351.292,247.006,-132.831,835.415,0.155
sph,4.67,1295.695,450.36,413.006,2178.385,0.004
sph,4.6900000000000004,103.975,424.935,-728.883,936.833,0.807
sph,4.74,319.445,380.967,-427.236,1066.126,0.402
sph,4.76,517.494,109.701,302.484,732.503,0
sph,4.8,415.786,190.653,42.113,789.46,0.029
sph,4.8600000000000003,508.694,61.457,388.242,629.147,0
sph,4.8899999999999997,319.389,232.619,-136.536,775.314,0.17
sph,4.93,489.17,290.583,-80.363,1058.703,0.092
sph,4.95,613.603,305.793,14.259,1212.946,0.045
sph,4.97,721.909,174.511,379.874,1063.943,0
sph,4.9700000000000006,1963.595,367.727,1242.863,2684.326,0
sph,4.99,687.348,345.664,9.859,1364.836,0.047
sph,5,482.617,423.067,-346.58,1311.814,0.254
sph,5.01,446.166,202.943,48.406,843.926,0.028
sph,5.0199999999999996,362.614,313.787,-252.398,977.626,0.248
sph,5.07,67,593.488,-1096.215,1230.215,0.91
sph,5.0999999999999996,440.688,168.836,109.776,771.6,0.009
sph,5.12,938.012,342.959,265.826,1610.199,0.006
sph,5.13,731.53,427.537,-106.428,1569.488,0.087
sph,5.19,1450.729,1657.239,-1797.399,4698.857,0.381
sph,5.2,540.69,177.969,191.876,889.504,0.002
sph,5.25,703.187,309.081,97.399,1308.975,0.023
sph,5.3,342.787,178.275,-6.625,692.198,0.055
sph,5.31,129.583,631.679,-1108.486,1367.652,0.837
sph,5.3150000000000004,408,959.891,-1473.352,2289.352,0.671
sph,5.35,410.757,303.341,-183.78,1005.295,0.176
sph,5.36,1658.25,631.066,421.383,2895.117,0.009
sph,5.37,752.138,353.042,60.189,1444.088,0.033
sph,5.39,2042.163,449.206,1161.735,2922.591,0
sph,5.4,571.877,414.314,-240.164,1383.918,0.167
sph,5.44,4847.617,784.699,3309.635,6385.598,0
sph,5.5,1299.805,136.694,1031.891,1567.719,0
sph,5.52,178.898,343.947,-495.225,853.021,0.603
sph,5.54,218.595,461.481,-685.891,1123.082,0.636
sph,5.59,627.708,332.502,-23.984,1279.401,0.059
sph,5.6,224.069,211.997,-191.438,639.576,0.291
sph,5.62,2302.714,898.601,541.488,4063.941,0.01
sph,5.64,2585.199,888.292,844.18,4326.219,0.004
sph,5.69,1132.495,89.556,956.967,1308.022,0
sph,5.7,851.409,283.567,295.629,1407.19,0.003
sph,5.71,986,686.171,-358.87,2330.87,0.151
sph,5.73,3176.98,451.379,2292.294,4061.667,0
sph,5.76,1972.395,251.787,1478.902,2465.888,0
sph,5.8,300.613,367.893,-420.443,1021.669,0.414
sph,5.85,4395.052,444.096,3524.64,5265.463,0
sph,5.8699999999999992,500,627.289,-729.463,1729.463,0.425
sph,5.88,480.7,264.37,-37.456,998.857,0.069
sph,5.9,744.773,223.833,306.068,1183.478,0.001
sph,5.92,729.596,356.016,31.818,1427.375,0.04
sph,5.96,670.965,192.054,294.546,1047.385,0
sph,5.99,-185.407,238.12,-652.114,281.299,0.436
sph,6,-254.766,133.385,-516.196,6.664,0.056
sph,6.04,955.66,448.893,75.845,1835.475,0.033
sph,6.05,927.252,467.329,11.304,1843.2,0.047
sph,6.06,62.164,557.087,-1029.707,1154.035,0.911
sph,6.07,190.374,218.853,-238.57,619.319,0.384
sph,6.15,260,613.52,-942.478,1462.478,0.672
sph,6.16,468.058,219.91,37.043,899.073,0.033
sph,6.2,302.615,313.978,-312.77,918,0.335
sph,6.21,151.156,199.293,-239.451,541.762,0.448
sph,6.27,771.72,310.812,162.54,1380.9,0.013
sph,6.3,1012.094,406.849,214.684,1809.503,0.013
sph,6.36,236.871,268.502,-289.383,763.125,0.378
sph,6.4,966.88,188.907,596.629,1337.13,0
sph,6.5,1097.265,130.034,842.403,1352.127,0
sph,6.69,510,687.288,-837.061,1857.061,0.458
sph,6.7,267.601,250.446,-223.263,758.465,0.285
sph,6.93,3046.42,654.393,1763.833,4329.007,0
sph,7,373.01,237.595,-92.668,838.688,0.116
sph,7.35,2824.894,434.374,1973.537,3676.252,0
sph,7.4,892.87,176.237,547.453,1238.288,0
sph,7.6,711.067,465.35,-201.003,1623.136,0.127
sph,7.7,2715.934,205.073,2313.999,3117.869,0
sph,7.72,5740.526,269.457,5212.399,6268.652,0
sph,7.85,3183.402,393.91,2411.353,3955.451,0
sph,7.89,998.446,236.171,535.558,1461.333,0
sph,7.9,696.03,197.128,309.666,1082.395,0
sph,8,725.771,231.439,272.159,1179.383,0.002
sph,8.1,1360.776,273.968,823.808,1897.744,0
sph,8.18,834.911,165.995,509.567,1160.254,0
sph,8.19,483.237,311.587,-127.463,1093.936,0.121
sph,8.25,1907.551,585.693,759.614,3055.487,0.001
sph,8.3000000000000007,243.13,302.104,-348.983,835.244,0.421
sph,8.3699999999999992,1090.189,331.688,440.092,1740.286,0.001
sph,8.4,679.641,211.167,265.761,1093.521,0.001
sph,8.41,-49.66,359.506,-754.278,654.958,0.89
sph,8.44,676.26,266.509,153.912,1198.607,0.011
sph,8.5,1051.058,163.662,730.286,1371.83,0
soc,intrcpt,1304.414,91.612,1124.859,1483.97,0
soc,varsel,-52.914,9.591,-71.711,-34.116,0
stn,intrcpt,837.882,41.361,756.816,918.948,0
stn,varsel,2.536,21.987,-40.558,45.629,0.908
scn,intrcpt,863.614,81.075,704.711,1022.517,0
scn,varsel,-1.917,5.968,-13.613,9.78,0.748
crop,apple,6608.015,1202.627,4250.91,8965.121,0
crop,barley,320.669,652.866,-958.925,1600.262,0.623
crop,beans,365.424,109.38,151.044,579.804,0.001
crop,cabbage,4941.204,850.291,3274.664,6607.744,0
crop,citrus,5873.243,2524.784,924.757,10821.729,0.02
crop,cocoyam,4848.802,798.806,3283.171,6414.433,0
crop,cotton,580.121,159.56,267.388,892.854,0
crop,cowpea,6115.364,675.489,4791.43,7439.298,0
crop,eggplant,3251.379,684.55,1909.684,4593.073,0
crop,knol khol,956.87,437.907,98.589,1815.152,0.029
crop,lettuce,2937.682,1524.709,-50.694,5926.057,0.054
crop,maize,1208.165,65.111,1080.549,1335.781,0
crop,melon,3847.474,322.904,3214.594,4480.355,0
crop,millet,570.672,248.287,84.039,1057.304,0.022
crop,oats,560.116,492.266,-404.709,1524.941,0.255
crop,pak choi,196.777,557.627,-896.151,1289.705,0.724
crop,pea,555.544,352.022,-134.406,1245.494,0.115
crop,peanut,660.152,197.2,273.646,1046.657,0.001
crop,pepper,4565.668,260.524,4055.05,5076.286,0
crop,potato,3658.987,338.515,2995.51,4322.464,0
crop,rapeseed,290.369,101.051,92.314,488.425,0.004
crop,rice,598.607,40.654,518.926,678.287,0
crop,sesame,266.579,198.63,-122.728,655.886,0.18
crop,sorghum,-596.52,255.092,-1096.492,-96.548,0.019
crop,sugarcane,6330.002,2482.377,1464.632,11195.371,0.011
crop,sweet potato,1225.977,1226.636,-1178.184,3630.139,0.318
crop,tea,64.943,243.214,-411.748,541.634,0.789
crop,tobacco,301.218,176.141,-44.013,646.449,0.087
crop,tomato,3026.435,208.6,2617.587,3435.283,0
crop,wheat,740.313,86.808,570.173,910.453,0
crop,zizyphus,2103.259,1060.637,24.45,4182.069,0.047
crop_type,fruit,4094.898,331.71,3444.758,4745.039,0
crop_type,grain,741.965,35.459,672.466,811.463,0
crop_type,industrial,365.799,90.273,188.867,542.73,0
crop_type,legumes,573.109,105.476,366.38,779.838,0
crop_type,others,440.078,158.51,129.405,750.751,0.005
crop_type,tubers,3623.103,341.717,2953.351,4292.856,0
crop_type,vegetable,3120.83,156.142,2814.796,3426.864,0
n_fer,intrcpt,565.726,94.373,380.758,750.694,0
n_fer,varsel,1.423,0.455,0.532,2.314,0.002
p_fer,intrcpt,423.026,160.168,109.102,736.95,0.008
p_fer,varsel,4.057,1.522,1.074,7.039,0.008
k_fer,intrcpt,-149.705,122.506,-389.811,90.402,0.222
k_fer,varsel,11.998,1.425,9.205,14.791,0
bph,intrcpt,3678.317,537.9,2624.052,4732.582,0
bph,varsel,-300.585,56.777,-411.866,-189.303,0
btc,intrcpt,1222.745,169.395,890.737,1554.754,0
btc,varsel,-0.837,0.361,-1.544,-0.129,0.02
btn,intrcpt,2013.133,146.027,1726.924,2299.341,0
btn,varsel,-140.049,16.849,-173.072,-107.026,0
