var,AIC,ll,ll_impr,r2_impr,pval
rain,16401.2632641651,-8190.34851888464,0.16,1.49,0
irr,16409.8358231773,-8194.63479839072,0.11,0.49,0
texture,16241.8280009648,-8073.00775083936,1.59,7.76,0
water_management,16255.732860489,-8107.30970253736,1.17,14.06,0
sbd,16385.6674191818,-8182.55059639299,0.26,2.48,0
sph,14824.5022068583,-7064.93205533413,13.88,63.51,0
soc,16381.4915587292,-8180.4626661667,0.28,2.33,0
stn,16411.8878240412,-8195.66079882267,0.1,0,0
scn,16411.7593967457,-8195.59658517493,0.1,0,0
crop,15490.5823488815,-7636.10119572004,6.92,51.23,0
crop_type,15992.9232027886,-7969.0610967297,2.86,34.21,0
n_fer,16401.9865587067,-8190.71016615543,0.16,1.54,0
p_fer,16404.4950450471,-8191.96440932562,0.14,1.31,0
k_fer,16340.7831917959,-8160.10848270002,0.53,3.5,0
bph,16384.4933866696,-8181.96358013688,0.26,5.19,0
btc,16406.3027289916,-8192.86825129788,0.13,2.07,0
btn,16345.7783135619,-8162.60604358304,0.5,10.03,0
bcn,16400.465675831,-8189.9497247176,0.17,1.65,0
brate,16387.8443341357,-8183.63905386993,0.24,3.3,0
